year,dif,casos,tipo,p
2004,14,91,1,15.38461
2005,12,105,1,11.42857
2006,3,93,1,3.225806
2007,6,90,1,6.666667
2008,2,84,1,2.380952
2009,4,86,1,4.651163
2010,21,90,1,23.33333
2011,11,69,1,15.94203
2012,23,80,1,28.75
2013,16,57,1,28.07018
2014,1,73,1,1.369863
2004,17,405,2,4.197531
2005,66,388,2,17.01031
2006,64,454,2,14.09692
2007,72,390,2,18.46154
2008,20,318,2,6.289308
2009,39,338,2,11.53846
2010,38,299,2,12.70903
2011,7,261,2,2.681992
2012,57,268,2,21.26866
2013,17,211,2,8.056872
2014,36,194,2,18.5567
