year,type,case,count
2004,msm,yes,14
2004,msm,no,91
2004,idu,yes,17
2004,idu,no,405
2005,msm,yes,12
2005,msm,no,105
2005,idu,yes,66
2005,idu,no,388
2006,msm,yes,3
2006,msm,no,93
2006,idu,yes,64
2006,idu,no,454
2007,msm,yes,6
2007,msm,no,90
2007,idu,yes,72
2007,idu,no,390
2008,msm,yes,2
2008,msm,no,84
2008,idu,yes,20
2008,idu,no,318
2009,msm,yes,4
2009,msm,no,86
2009,idu,yes,39
2009,idu,no,338
2010,msm,yes,21
2010,msm,no,90
2010,idu,yes,38
2010,idu,no,299
2011,msm,yes,11
2011,msm,no,69
2011,idu,yes,7
2011,idu,no,261
2012,msm,yes,23
2012,msm,no,80
2012,idu,yes,57
2012,idu,no,268
2013,msm,yes,16
2013,msm,no,57
2013,idu,yes,17
2013,idu,no,211
2014,msm,yes,1
2014,msm,no,73
2014,idu,yes,36
2014,idu,no,194
